Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
"Mill Race Court, Carlow Town",CAS Construction,Carlow,14,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Royal Oak Road, Bagenalstown  ",SHIP Construction,Carlow,24,*N/A,,,,,Scheme started on site in Q3 2016,
"Pound Lane, Borris",SHIP Construction,Carlow,4,*N/A,,,,,Scheme started on site in Q4 2016,
Rural Cottages at Rathvilly & Tullow,SHIP Construction,Carlow,2,*N/A,,,,,Scheme started on site in Q3 2016,
"St Patrick's Park, Tullow",SHIP Construction,Carlow,14,*N/A,,The scheme was Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
Rathvilly,SHIP Construction,Carlow,10,*N/A,,,,,Scheme started on site in Q3 2016,
"Mount Leinster Park, Carlow",SHIP Construction,Carlow,4,*N/A,,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
"Maryborough St, Carlow",SHIP Construction,Carlow,5,*N/A,,,,,,Scheme completed in Q4 2016
Myshall,SHIP Construction,Carlow,4,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Hackettstown,SHIP Construction,Carlow,4,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Sleaty Street, Carlow",SHIP Construction TURNKEY,Carlow,26,*N/A,,,,Approval of turnkey/construction project Q2 2016,,
"Ballincarrig, Wexford Road, Carlow",CAS Construction,Carlow ,7,Tintean Carlow Voluntary Housing Association ,,,,,,Scheme completed in Q4 2016
"Royal Oak Rd, Bagenalstown, Carlow",CAS Construction,Carlow ,6,,,The scheme was Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
"Cluain Dara, Kingscourt",CALF Construction TURNKEY,Cavan ,16,Cluid Housing Association,,,,,,Scheme completed in Q4 2016
